uniprot_description,count
Putative attaching and effacing protein homolog,1
Os10g0483600 protein,1
Os10g0483700 protein,1
Os10g0484100 protein,1
Os10g0479200 protein,1
"Putative atp-binding cassette, sub-family g2 (White protein) (Abcg2)",1
Os10g0484300 protein,1
Putative atp synthase subunit d,1
Os10g0484500 protein,1
Putative atp synthase f0 protein,1
Putative atlastin,1
Putative ataxin-3 homolog,1
Putative assembly protein,1
Os10g0484566 protein,1
Putative assembly chaperone of rpl4,1
Os10g0482133 protein,1
Putative autotransported outer membrane protein involved in cell adhesion,1
Putative autotransported protein,1
Putative auxin response factor 14,1
Os10g0479600 protein,1
Os10g0479800 protein,1
Os10g0480050 protein,1
Os10g0480350 protein,1
Putative auxin transporter-like protein 4,1
Os10g0481000 protein,1
Os10g0481050 protein,1
Putative auxin response factor 23,1
Putative auxin response factor 21,1
Os10g0481100 protein,1
Os10g0481150 protein,1
Putative auxin response factor 20,1
Os10g0481200 protein,1
Os10g0481400 protein,1
Os10g0481450 protein,1
Putative auxin response factor 15,1
Os10g0481475 protein,1
Os10g0481666 protein,1
Os10g0481832 protein,1
Os10g0482000 protein,1
Os10g0482066 protein,1
"Putative beta-1,6-glucan boisynthesis protein (Knh1)",1
Os10g0473200 protein,1
Putative antitoxin VapB16,1
Putative beta-glucosidase domain protein,1
Os10g0464350 protein,1
Os10g0464500 protein,1
Putative beta-ketoacyl-ACP synthase,1
"Putative beta-ketoacyl synthase, C-domain protein",1
Os10g0464800 protein,1
Putative beta-glycosidase,1
Os10g0464901 protein,1
Os10g0465000 protein,1
Os10g0465175 protein,1
Putative beta-glucoside kinase,1
Putative beta-glucosidase btgE,1
Putative beta-ketoadipyl CoA thiolase,1
Os10g0465300 protein,1
Putative beta-glucosidase G,1
Os10g0465350 protein,1
Os10g0465500 protein,1
Putative beta-glucosidase E,1
Os10g0465800 protein,1
Os10g0465900 protein,1
Putative beta-glucosidase 9,1
Os10g0465950 protein,1
Os10g0466100 protein,1
Os10g0464100 protein,1
Os10g0463800 protein,1
Os10g0473050 protein,1
Os10g0460900 protein,1
Os10g0459800 protein,1
Os10g0459900 protein,1
Os10g0460000 protein,1
Os10g0460700 protein,1
Putative beta-lactamase HcpE,1
Putative beta-lactamase HcpD,1
Putative beta-lactamase HcpC,1
Os10g0460733 protein,1
Os10g0460766 protein,1
Os10g0460800 protein,1
Os10g0461100 protein,1
Os10g0463500 protein,1
Os10g0461750 protein,1
Os10g0462100 protein,1
Os10g0462300 protein,1
Os10g0462432 protein,1
Os10g0462500 protein,1
Os10g0462550 protein,1
Os10g0462600 protein,1
Os10g0462800 protein,1
Os10g0463300 protein,1
Os10g0463450 protein,1
Os10g0466200 protein,1
Os10g0466500 protein,1
Os10g0466800 protein,1
Putative beta-Fructufuranosidase,1
Os10g0469300 protein,1
Putative beta-carotene dioxygenase,1
Putative beta-barrel assembly-enhancing protease,1
Os10g0469600 protein,1
Os10g0469900 protein,1
Putative beta-actin-like protein 3,1
Os10g0470100 protein,1
Os10g0470300 protein,1
Os10g0470500 protein,1
Os10g0470700 protein,1
Os10g0470801 protein,1
Os10g0467100 protein,1
Os10g0470900 protein,1
Os10g0471000 protein,1
Os10g0471200 protein,1
Os10g0471350 protein,1
Os10g0471400 protein,1
Os10g0471550 protein,1
Putative beta-D-xylosidase 6,1
Os10g0472501 protein,1
Putative beta-D-xylosidase 5,1
Os10g0472700 protein,1
Putative beta-catenin,1
Putative beta-defensin 108A,1
Putative beta-defensin 109B,1
Putative beta-eliminating lyase,1
Os10g0467850 protein,1
Os10g0467900 protein,1
Putative beta-glucosidase 6,1
Putative beta-glucosidase 5,1
Os10g0468200 protein,1
Putative beta-glucosidase 35,1
Os10g0468250 protein,1
Putative beta-glucosidase 23,1
Putative beta-glucosidase 2,1
Putative beta-glucosidase 17,1
Putative beta-glucosidase 15,1
Putative beta-glucosidase,1
Putative beta-galactosidase 10,1
Os10g0468301 protein,1
Os10g0468800 protein,1
Os10g0468875 protein,1
Os10g0468950 protein,1
Os10g0469100 protein,1
Putative beta-galactosidase,1
Putative beta-fructofuranosidase,1
Putative beta-eliminating lyase-like protein,1
Os10g0484632 protein,1
Os10g0485100 protein,1
Putative aspartyl-tRNA synthetase,1
Putative antitoxin VapB8,1
Os10g0500500 protein,1
Putative apolipoprotein(a)-like protein 2,1
Os10g0501000 protein,1
"Putative apolipoprotein n-acyltransferase, Lnt",1
Putative antolefinin (Antolefinine),1
Os10g0501100 protein,1
Putative antitoxin of osmotically regulated toxin-antitoxin system associated with programmed cell death,1
Putative antitoxin of gyrase inhibiting toxin-antitoxin system,1
Putative antitoxin VapB9,1
Os10g0501200 protein,1
Os10g0501300 protein,1
"Putative apoptosis-inducing factor 1, mitochondrial",1
Os10g0501700 protein,1
Os10g0502000 protein,1
Os10g0502100 protein,1
Os10g0502300 protein,1
Os10g0502450 protein,1
Os10g0503250 protein,1
Putative antitoxin VapB7,1
Os10g0503300 protein,1
Os10g0503600 protein,1
Os10g0503800 protein,1
Os10g0500300 protein,1
Putative apyrase 5,1
Putative aspartyl protease,1
Putative aquaporin TIP3-2,1
Os10g0497750 protein,1
Putative arabinosyltransferase ARAD1,1
Putative arabinosyltransferase A domain protein,1
"Putative arabinan endo-1,5-alpha-L-arabinosidase C",1
Putative aquaporin-7-like protein 3,1
Putative aquaporin-3,1
Putative aquaporin-10,1
Os10g0497800 protein,1
Os10g0498100 protein,1
Putative aquaporin TIP5-1,1
Os10g0498300 protein,1
Os10g0499700 protein,1
Os10g0498500 protein,1
Os10g0498600 protein,1
Putative aquaporin TIP2-2,1
Putative aquaporin NIP4-1,1
Os10g0498800 protein,1
Os10g0499050 protein,1
Os10g0499200 protein,1
Putative aquaporin,1
Os10g0499400 protein,1
Os10g0499500 protein,1
Putative antitoxin VapB6,1
Os10g0503950 protein,1
Putative antitoxin VapB51,1
Os10g0509401 protein,1
Os10g0508050 protein,1
Putative antitoxin VapB3,1
Putative antitoxin VapB29,1
Putative antitoxin VapB24,1
Putative antitoxin VapB23,1
Os10g0508600 protein,1
Os10g0508700 protein,1
Os10g0509000 protein,1
Os10g0509150 protein,1
Os10g0509200 protein,1
Os10g0509501 protein,1
Putative antitoxin VapB50,1
Os10g0509600 protein,1
Os10g0509700 protein,1
Putative antitoxin VapB19,1
Putative antitoxin VapB18,1
Os10g0509800 protein,1
Os10g0509825 protein,1
Os10g0509850 protein,1
Putative antitoxin VapB17,1
Os10g0509900 protein,1
Os10g0510050 protein,1
Putative antitoxin VapB34,1
Os10g0508000 protein,1
Putative antitoxin VapB36,1
Os10g0507500 protein,1
Os10g0504100 protein,1
Putative antitoxin VapB49,1
Putative antitoxin VapB48,1
Os10g0504500 protein,1
Os10g0504600 protein,1
Os10g0506000 protein,1
Os10g0506300 protein,1
Putative antitoxin VapB45,1
Os10g0506425 protein,1
Putative antitoxin VapB44,1
Os10g0506550 protein,1
Os10g0506625 protein,1
Os10g0506700 protein,1
Os10g0506800 protein,1
Os10g0506950 protein,1
Os10g0507000 protein,1
Putative antitoxin VapB42,1
Os10g0507150 protein,1
Putative antitoxin VapB4,1
Putative antitoxin VapB38,1
Putative antitoxin VapB37,1
Putative arca-like protein,1
Putative archaetidylserine decarboxylase proenzyme,1
Os10g0497600 protein,1
Os10g0489800 protein,1
Os10g0488850 protein,1
Putative asparagine synthetase,1
Os10g0488900 protein,1
Putative asparagine synthase,1
Os10g0489448 protein,1
Putative asparaginase 2,1
Os10g0489500 protein,1
Putative asparaginase,1
Os10g0489650 protein,1
Putative arylsulfatase regulatory protein,1
Os10g0490150 protein,1
Os10g0491100 protein,1
Os10g0490300 protein,1
Os10g0490400 protein,1
Os10g0490534 protein,1
Os10g0490800 protein,1
Putative aryl-alcohol dehydrogenase C977.14c,1
Putative aryl-alcohol dehydrogenase C750.01,1
Os10g0490900 protein,1
Putative aryl-alcohol dehydrogenase AAD3,1
Putative aryl-alcohol dehydrogenase AAD16,1
Putative aryl-alcohol dehydrogenase AAD15,1
Os10g0488800 protein,1
Os10g0488400 protein,1
Os10g0488300 protein,1
Putative asparagine synthetase [glutamine-hydrolyzing] 1,1
Os10g0485400 protein,1
Os10g0485800 protein,1
Putative aspartic-type endopeptidase CTSD,1
Os10g0485900 protein,1
Os10g0486200 protein,1
Putative aspartic endopeptidase,1
Os10g0486300 protein,1
Os10g0486900 protein,1
Putative aspartate-semialdehyde dehydrogenase,1
Os10g0486916 protein,1
Os10g0486932 protein,1
Os10g0486950 protein,1
Os10g0487000 protein,1
Os10g0487100 protein,1
Os10g0487200 protein,1
Putative aspartate aminotransferase (ISS),1
Putative asparagine-rich protein,1
Os10g0487900 protein,1
Putative asparagine-rich antigen,1
Putative asparagine synthetase [glutamine-hydrolyzing] 2,1
Os10g0488100 protein,1
Os10g0491000 protein,1
Os10g0491250 protein,1
Os10g0497500 protein,1
Os10g0495416 protein,1
Os10g0493900 protein,1
Os10g0494400 protein,1
Putative aromatic compound monooxygenase YhjG,1
Os10g0494950 protein,1
Os10g0495075 protein,1
Putative aromatic amino acid aminotransferase,1
Putative armc4,1
Os10g0495100 protein,1
Os10g0495200 protein,1
Os10g0495400 protein,1
Os10g0495433 protein,1
Os10g0491400 protein,1
Os10g0495466 protein,1
Os10g0496200 protein,1
Os10g0496400 protein,1
Os10g0496550 protein,1
Os10g0496600 protein,1
Os10g0496700 protein,1
Os10g0497200 protein,1
Putative arginine repressor,1
Os10g0497300 protein,1
Os10g0497366 protein,1
Os10g0493850 protein,1
Os10g0493700 protein,1
Os10g0493100 protein,1
Os10g0492800 protein,1
Putative aryl-alcohol dehydrogenase AAD10,1
Putative aryl-alcohol dehydrogenase,1
Putative aryl hydrocarbon receptor,1
Os10g0491450 protein,1
Putative arv1,1
Putative arsenite-resistance protein 2,1
Putative arsenite methyltransferase,1
Os10g0491500 protein,1
Os10g0492000 protein,1
Os10g0492101 protein,1
Putative arsenical pump-driving ATPase,1
Os10g0492300 protein,1
Putative arsenical pump membrane protein arsB2,1
Os10g0492400 protein,1
Putative arsenate reductase-like protein,1
Putative arsenate reductase,1
Putative arsR family regulatory protein,1
Putative arrestin-related trafficking adapter SPBC839.02,1
Os10g0492500 protein,1
Putative arrestin-related trafficking adapter C2D10.04,1
Putative arp2/3,1
Osmotic stress resistance protein,1
Protein preli-like,1
Osmotically inducible family protein,1
"Probable splicing factor, arginine/serine-rich 5",1
"Probable splicing factor, arginine/serine-rich 3",1
"Potassium channel, voltage-gated eag-related subfamily H, member 7",1
"Probable splicing factor, arginine/serine-rich 2",1
"Probable splicing factor, arginine/serine-rich 1",1
Probable splicing factor 3B subunit 3,1
Potassium channel3,1
Probable sphingosine-1-phosphate phosphatase,1
Probable sphingolipid transporter spinster homolog 3,1
Probable sphingolipid transporter spinster homolog 2,1
Probable sphingolipid transporter spinster homolog 1,1
Probable sphingolipid long chain base-responsive protein pil2,1
Probable sphingolipid long chain base-responsive protein pil1,1
Probable spastin homolog spas-1,1
Probable spastin homolog Bm1_53365,1
Probable solute-binding transport lipoprotein,1
Probable solute-binding protein,1
Probable soluble pyridine nucleotide transhydrogenase,1
Probable soluble lytic transglycosylase,1
"Probable solanesyl-diphosphate synthase 3, chloroplastic",1
Probable sodium:sulfate symporter,1
Probable sodium:solute symporter,1
Potassium channel4,1
Potassium efflux protein KefA,1
"Probable splicing factor, arginine/serine-rich 4",1
"Probable splicing factor, arginine/serine-rich 6",1
Probable sodium:solute symport protein,1
"Probable splicing factor, arginine/serine-rich 7",1
"Potassium channel, subfamily T, member 1",1
Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit B,1
Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit A,1
"Probable succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",1
Probable succinate dehydrogenase [membrane anchor subunit] (Succinic dehydrogenase),1
Probable succinate dehydrogenase (Iron-sulphur protein subunit) SdhB (Succinic dehydrogenase) (Fumarate reductase) (Fumarate dehydrogenase) (Fumaric hydrogenase),1
Probable succinate dehydrogenase (Hydrophobic membrane anchor subunit) SdhD (Succinic dehydrogenase) (Fumarate reductase) (Fumarate dehydrogenase) (Fumaric hydrogenase),1
Probable stress-associated endoplasmic reticulum protein,1
Probable stomatin-like protein,1
Probable sterol O-acyltransferase 2,1
Probable sterol O-acyltransferase 1,1
Probable steroid-binding protein 3,1
"Probable starch synthase 4, chloroplastic/amyloplastic",1
Probable staphylococcal-like nuclease CAN4,1
"Potassium channel, subfamily V, member 2 (Predicted)",1
"Potassium channel, subfamily V, member 2a",1
Probable staphylococcal-like nuclease CAN3,1
Probable staphylococcal-like nuclease CAN2,1
Probable staphylococcal-like nuclease CAN1,1
Probable squalene monooxygenase,1
Probable spore coat protein sigD,1
Probable spore coat protein DDB_G0283555,1
"Potassium channel, subfamily V, member 2b",1
"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1a",1
"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1b",1
Potassium transporter 2,1
"Potassium large conductance calcium-activated channel, subfamily M, beta member 2",1
Potassium outward rectifying channel,1
Potassium transport protein 1,1
Probable sister chromatid cohesion protein DCC1,1
Probable signal recognition particle subunit SRP68,1
"Probable signal recognition particle 43 kDa protein, chloroplastic",1
Probable signal recognition particle 19 kDa protein,1
Potassium transport protein 2,1
Potassium transporter 11,1
Potassium transporter 13,1
Probable signal peptidase I,1
Potassium transporter 18,1
Probable sigma-54 modulation protein,1
Probable siderophore receptor,1
Probable sialic acid-transport integral membrane protein NanT,1
Probable short/branched chain specific acyl-CoA dehydrogenase,1
Probable short-chain type dehydrogenase/reductase. Possible 17-beta-hydroxysteroid dehydrogenase,1
Probable short-chain type dehydrogenase/reductase VdlC,1
Potassium transporter 19,1
Probable short-chain type dehydrogenase,1
Probable short-chain dehydrogenase/reductase,1
Probable short chain alcohol dehydrogenase/reductase,1
Probable shikimate 5-dehydrogenase AroE (5-dehydroshikimate reductase),1
Probable serpin E3,1
"Potassium large conductance calcium-activated channel, subfamily M, beta member 3",1
Potassium ion transmembrane transporter,1
Probable sodium:alanine symporter,1
Potassium inwardly rectifying channel subfamily J member 9,1
Probable sodium/proton antiporter,1
Probable sodium/potassium/calcium exchanger CG1090,1
Probable sodium/potassium-transporting ATPase subunit beta-3,1
"Probable sodium/metabolite cotransporter BASS6, chloroplastic",1
"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",1
"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4",1
Potassium inward rectifier (Kir)-like channel 3,1
Potassium inwardly rectifying channel subfamily J member 10a,1
Potassium inwardly rectifying channel subfamily J member 12a,1
Potassium inwardly rectifying channel subfamily J member 12b,1
Potassium inwardly rectifying channel subfamily J member 14,1
"Probable sodium/metabolite cotransporter BASS2, chloroplastic",1
Potassium inwardly rectifying channel subfamily J member 16,1
"Potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 1",1
"Potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 2",1
"Potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 3",1
"Potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 4",1
"Potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 5",1
"Probable small subunit of hydrogenase-3, iron-sulfur protein",1
"Potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 6",1
Potassium inwardly rectifying channel subfamily J member 1b,1
Probable small nuclear ribonucleoprotein-associated protein B,1
Potassium inwardly rectifying channel subfamily J member 5,1
Probable sucrose utilization protein SUC1,1
"Potassium channel, subfamily K, member 7",1
Probable sucrose-phosphatase 2,1
Potassium channel tetramerisation domain containing 3,1
"Potassium channel tetramerisation domain containing 9 (Predicted), isoform CRA_b",1
Potassium channel tetramerisation domain-containing 12.2,1
Probable tRNA (guanine(26)-N(2))-dimethyltransferase 2,1
Probable tRNA (guanine(26)-N(2))-dimethyltransferase 1,1
Probable tRNA (guanine(26)-N(2))-dimethyltransferase,1
Potassium channel tetramerisation domain-containing 14,1
Probable syntaxin-8B,1
Potassium channel tetramerisation domain-containing 17,1
Probable syntaxin-7B,1
Potassium channel tetramerisation domain-containing 18,1
Potassium channel tetramerization domain containing 15,1
Probable syndecan,1
Potassium channel tetramerization domain-containing 1,1
Probable superoxide dismutase [Cu-Zn] 6,1
Probable sulfite reductase [NADPH] flavoprotein component,1
Probable sulfite or nitrite reductase,1
Potassium channel tetramerization domain-containing 16a,1
Potassium channel tetramerization domain-containing 16b,1
Potassium channel tetramerization domain-containing 18,1
Probable sulfate-transport integral membrane protein ABC transporter CysW,1
Probable sulfate-binding lipoprotein SubI,1
Potassium channel tetramerization domain-containing 19,1
Probable sulfate transporter Rv1739c,1
Potassium channel tetramerisation domain containing 6 (Predicted),1
Potassium channel tetramerisation domain containing 11 (Predicted),1
Probable sucrose-phosphatase 3,1
Potassium channel tetramerisation domain containing 10,1
Probable tetraspanin tspD,1
Probable tetraspanin tspC,1
Probable tetraspanin tspB,1
Probable tetraspanin tspA,1
"Probable tetraacyldisaccharide 4'-kinase, mitochondrial",1
"Probable terpene synthase 3, chloroplastic",1
Probable tautomerase spr0921,1
Probable tautomerase HP_0924,1
Probable tautomerase Cj0270,1
Probable target of rapamycin complex 2 subunit BIT2,1
